variable;text
trust_tech1;Bei den folgenden Aussagen geht es um Ihr Vertrauen in Alltagstechnologien (z.B. Social Media, Onlinebanking, Smarthome). Welche der folgenden Aussagen trifft auf Sie zu? Ich vertraue Technologien.
trust_tech2;X46 Mir ist egal wer meine Daten sehen kann und wer nicht. Ich habe nichts zu verstecken.
trust_tech3;X47 Ich hatte noch nie Angst um meine persönlichen Daten.
trust_tech4;X48 Ich habe bis jetzt nur gute Erfahrungen mit Technologien gemacht.
trust_tech5;X49 Ich weiß immer wer meine Daten einsehen kann.
trust_tech6;X50 Ich habe Angst Technologie zu verwenden, weil ich nicht weiß, was mit meinen Daten passiert.
dig_tech1;Welcher Aussage im Bezug auf digitale Technologien stimmen Sie zu? Ich informiere mich über neue digitale Technologien.
dig_tech2;X53 Digitale Technologien machen vieles umständlicher.
dig_tech3;X54 Es macht mir Spaß digitale Neuerungen auszuprobieren.
dig_tech4;X55 Digitale Technologien machen unabhängig.
dig_tech5;X56 Ich liebe es, Dinge auf digitalem Weg erledigen zu können.
dig_tech6;X57 Digitale Technologien verursachen Stress.
dig_tech7;X58 Digitale Technologien erleichtern mir den Alltag.
dig_tech8;X59 Digitale Technologien erhöhen die Sicherheit.
true_false1;Welchen Aussagen über den elektronischen Ausweis halten Sie für korrekt? Die eID kann eine rechtsverbindliche Unterschrift ersetzen.
true_false2;X61 Mit der eID kann man beispielsweise Bafög-Nachweise online einreichen.
true_false3;X62 Die eID ermöglicht es Behörden mich zu orten.
true_false4;X63 Mit einem Lesegerät kann jeder, der im Besitz meiner eID ist, ihn online verwenden.
true_false5;X64 Alle Daten werden ausschließlich verschlüsselt übertragen.
true_false6;X65 Die eID kann unbemerkt auf der Straße ausgelesen werden.
which_eID;Welchen Personalausweis besitzen Sie? Response_5
bad_exp;Haben Sie schon einmal schlechte Erfahrungen bei Behörden gesammelt? Response_6
info_eID;Wurden Sie über die eID informiert, als Sie einen neuen Personalausweis beantragt haben? Response_7
trust_authority1;Bitte geben Sie an, inwiefern Sie den folgenden Aussagen zustimmen. Ich vertraue den Mitarbeiter*Innen einer Behörde, dass meine Daten vertraulich behandelt werden.
trust_authority2;X70 Ich vertraue darauf, dass die von Behörden verwendeten Technik (z.B. Verschlüsselungssysteme, Firewalls, Programme usw.) meine Daten auch vor externen Angriffen schützt.
trust_authority3;X71 Ich habe Angst, durch die eID mehr überwacht zu werden.
trust_authority4;X72 Ich habe Angst davor, dass meine Daten bei der eID nicht ordnungsgemäß verwaltet werden, weil ich es nicht selbst überprüfen kann.
trust_authority5;X73 Die Einführung der eID halte ich für sinnvoll, das macht vieles leichter.
trust_authority6;X74 Ich empfinde die Einführung der eID als unnötig, da ich eh lieber persönlich zu der entsprechenden Behörde gehe.
trust_authority7;X75 Die Einführung der eID finde ich gut, bin aber skeptisch über die Umsetzung, da es nicht transparent ist, wo meine Daten überall gespeichert werden.
advantages;Welche Vorteile sehen Sie in der flächendeckenden Nutzung der eID? Open-Ended Response_1
Statement1;Welche Aussagen in Bezug auf die eID treffen auf Sie zu? Ich beabsichtige, in nächster Zeit die eID zu nutzen.
statement2;X80 Die eID bietet für mich als Bürger*In Vorteile.
statement3;X81 Ich kenne die Funktionen der eID.
statement4;X82 Ich weiß nicht, welche Daten auf der eID gespeichert sind.
statement5;X83 Ich weiß, wer Zugriff auf die Daten auf die eID hat.
statement6;X84 Ich fühle mich nicht ausreichend über die möglichen Services der eID informiert.
why_eID;Weshalb nutzen Sie (k)eine eID? Open-Ended Response_2
concerns;Folgende Bedenken habe ich in Bezug auf die eID. Open-Ended Response_3
wishes;Ich wünsche mir folgende weitere Funktionen der eID. Open-Ended Response_4
comments;Für Ihre Fragen, Anmerkungen oder Feedback: Open-Ended Response_5
